CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
"baḥḥ, beḥḥ, baḥ, paḥḥ",,"interj, v",,"gone, it's finished; I don't have it any more",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"game, interjection, quality"
"baḥḥ, biḥḥ",,"adv, interj, v",,"gone, it is finished (about food); disappear, I don't have it (any more)",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,Širbini 1665; Woidich 2006,1665; 2006; 2015,"Širbini: used by children when they finish eating. Also used in modern Eg. Arabic in the sense 'it is over' (about anything). Can be used in informal adult speech, e.g. lflus baḥḥ 'the money is finished' (to sound funny). Not conjugated. Var. biḥḥ (Woidich), not used by Hassan.",,quality
baḥḥa,,"interj, v","1) idda (it’s gone)
 2) ifukka (it’s finished)","gone, it's finished; I don't have it (any more)",Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,can be used about objects and food (that is finished),,"quality, game, action"
baḥḥa,,"n, v","(ṯ)amḥḥišṯ (< ṯamḥḥiyṯ? not used; rarely -št) /(ṯ)abḥḥišṯ (not a commonly used/ “proper” word, not used with parents); (ṯ)amaḥḥat, (ṯ)abaḥḥat",kiss,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2015,b/m substitution/alternation (both in BT and adult speech),wway (<ggay) baḥḥa 'give me a kiss',"body, bodily function, action"
baḥḥa,,"interj, v",maɛndiš,I don't have it (any more)',Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,quality
baḥḥu,,n,,milk,Morocco,Semitic,Arabic,Arabic (Moroccan),"Oujda, (Taza)",,2024,,,"food, drink"
bali,,n,bẓalím,onion,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,food
balu,بالو,n,,"insect; something scary, used to scary the child",Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
bappa,,n,mššu,food,Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,,šš bappá! 'eat food!' = eat (=mimmi!),food
"bappa, 
 mnan mnan",,n,(makla),food,Morocco,Amazigh (Berber),,Tashelhit,Ouarzazate,,2014,,,food
"bappa, pappa",,n,aġrum,bread,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali; Rashidia, Ayt Merghad",,"2014, 2015",,,food
"bappa, pappa",,n,aġrum,bread,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,,food
"bappa, pwappwa, 
 mnan mnan",,n,makla,food,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Fes",,2014,"See also mimmi; cf. myam myam ‘tasty’. In Kabyle: bwabbwa, maybe girls say p.",,"body, action, food"
basasa,,n,,"hand, arm",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
basasa,,n,,"hand, arm",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
bassa,,n,afús,"hand, arm",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Transformation of [f] (afus) into [b].,,"body, body parts"
bathie,,n,bath,bath,"USA, UK",Germanic,,English,USA,,2024,,,
bau bau,,n,,dog,Italy,Romance,,Italian,Central Italy,,2015,"bau bau: onomatopoeia (represents the dog's barking), reduplication",,animals
baxx,,"interj, v",maɛndiš,I don't have it (any more)',Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,,,quality
baybay,бай-бай,interj,спать,sleep,Russia,Slavic,,Russian,,,2024,,,
baybay,,interj,hoşçakal/güle güle,bye bye,Turkey,Turkic,,Turkish,,,2024,,,
"baybay, babay",,interj,,bye bye,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,greeting
"baybay, babay",,interj,,bye bye,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,greeting
"baybay, ḅayḅay, b̦ayb̦ay",,interj,b-es-slama,"bye-bye, hello",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"interjection, greeting"
baybi ,,n,"baybi, bannuta 'little daughter', uliyd 'little son'",baby,Libya,Semitic,Arabic,Arabic (Libyan),Benghazi,,2015,BT=AT,,"humans, baby"
baʔʔɛēno (ba’’ɛēno),,interj,,peek-a-boo (when playing hide-and-seek),Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,games
baεbuṭ,,n,aεebbuḍ,belly,Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,< from adult aεebbuḍ,,"body, body part"
baεbuṭ,,n,aεebbuḍ,belly,Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,< from adult aεebbuḍ,,"body, body part"
baεεa,,n,,"sheep, goat",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,animals
baεεa,,n,"tili 'sheep', PL wulli; taġaṭ 'goat', PL tiġaṭṭin","sheep, goat",Morocco,Amazigh (Berber),,Tashelhit,"Tarudant, Taznaxt",,2015,,,animals
bba,,"n, v","tabbat, PL tabbatin (from BT?)","to kiss, kiss",Algeria,Amazigh (Berber),,Kabyle,Imẓalen,,2015,,,"body, action"
bba,,"n, v","tabbat, PL tabbatin (from BT?)","to kiss, kiss",Algeria,Amazigh (Berber),,Kabyle,Imẓalen,,2015,,,"body, action"
"ḅḅa, baba, buya",,n,"ḅḅa, baba",father,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,BT = adult. Common with Arabic outside Morocco and with Berber (baba).,,"humans, kinship"
bbabba,,"n, v",,"pee (v, n), genitals",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"body, body part, bodily functions"
bbaḥ,,"v, interj",,"gone, finished; I don't have it (any more)",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,"bbaḥ, ibbaḥ (possibly conjugated but usually with i- as default)",,"action, interjection, quality, game"
bbaḥ,,v:conj,"i-ruḥ 'it's gone', walu, wa ḏa ša ‘nothing here’, wa ḏin ša 'nothing there'; opposite of: ḏin 'there is'","gone, finished; I don't have it (any more)",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"In the Riff, the word can be used unchanged without any prefix, vs. Ketama ibbaḥ (always(?) with i-).",,"game, quality, state, action"
bbaḥ,,v:conj,lhu,"nice, good [used for humans]",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Verb, conjugated. M ye-bbaḥ; F te-bbaḥ. Origin: uncertain. Smth positive, cf. mmaḥ 'kiss'.",tebbaḥ nannas (adult: telha nannas) ‘(The/your) elder sister is good’.,"quality, positive"
bbaḥ,,v:conj,lhu,"nice, good [used for humans]",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Verb, conjugated. M ye-bbaḥ; F te-bbaḥ. Origin: uncertain. Smth positive, cf. mmaḥ 'kiss'.",tebbaḥ nannas (adult: telha nannas) ‘(The/your) elder sister is good’.,"quality, positive"
bbaḥ,,"v, interj",iyurfaɛa,"gone, it disappeared",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,"game, quality, action"
bbaḥ,,"v, interj",,"it's gone, it disappeared",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate,,"game, quality, action"
bbaḥ,,"v, interj",,"it's gone, it disappeared",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate,,play
bbaḥ,,"v, interj",,"it's gone, finished; I don't have it (any more)",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,"Widespread, also used in the local Berber and beyond",,"action, interjection, quality, game"
bbaḥ,,interj,ulac,"gone, it's gone, there is no (left)",Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,game
bbaḥ,,interj,,"gone, finished",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,game
bbaḥ,,interj,,"it's gone, finished; I don't have it (any more)",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"action, interjection, quality, game"
bbaḥ (i-bbaḥ),,v:conj,,"nice, good: it's nice, good",Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,"Verb, conjugated. M i-bbaḥ, F te-bbaḥ.",,"quality, positive"
bbaḥ (i-bbaḥ),,v:conj,,"nice, good: it's nice, good",Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,"Verb, conjugated. M i-bbaḥ, F te-bbaḥ.",,"quality, positive"
"bbaḥ, baḥḥ, baḥḥa",,"interj, v","ṣafi, maɛndiš, mša(t);
 sala(t), tqada(t) ('it finished'); mabqa(t)š,
 ġber 'gone'; opposite of:
 keyn, F keyna.","gone (about objects), it disappeared, it is finished (about food/drink), I don't have it (any more)",Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,"bbaḥ (Marrakesh), baḥḥ, baḥḥa (Tetouane). According to some (but not all) speakers (e.g. Ziati/Casablanca, but not Rimah/Marrakesh), can be used in the sense 'it’s finished'
 (about food/drink).",,"game, action"
bbāḥḥ,,"adj, interj.","mezyan, mliḥ, iṣḇeḥ; baẓẓ 'bravo!'","good, pretty, nice, cute; bravo!",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"Repeated: bbāḥḥ, bbāḥḥ '(you are) cute; (it is) fine; don’t cry'. Ayt Said: aamenni lit. ‘like that’ (not BT);
 ayžžabbimmi < a(d) ižž a(r)bbi mmi ‘God will keep for me my son’ (=bravo!) (not BT); F: same as M or a(d) ižž a(r)bbi idži (‘~ daughter’).",,"quality, positive"
"bbāḥḥ, bbaḥḥ",,"adj, n, v",iziḓ ‘it is tasty’,"tasty, delicious, nice, good",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,"food, quality"
bbaḥḥa,,interj,,"gone, finished; I don't have it (any more)",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
bbuk,,v,,"hit, strike!",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate,,"action, body, game"
bbuk,,v,,"hit, strike!",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate,,action
"bbuk, bbukk, hbbu ",,v,ut,"hit, strike!",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,"body, action"
bbukk,,v,,"hit, strike!",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,not used in Ourzazate,,"body, action"
bbux,,v:conj,i-mmuṯ 'he died',death; to die,Morocco,Amazigh (Berber),,Tarifiyt,"Ayt Said, Iqeraiyen",,2014-15,"bbux (for any person); optionally conjugated.: i-bbux 3MSG, ṯe-bbux 3FSG (PL rare: bbuxen); no aspects",,"bodily function, action, negative"
bbux,,v:conj,,death; to die,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,"ibbux, conjugated, IPF bbuxay. Can be used e.g. in a game (pretending to die).",,"bodily function, action, negative"
bbwa,,v,fad,thirsty: to be thirsty,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,bodily function
"bbʷa sidi, bbʷa žeddi, 
 žeddi",,n,bbwa ḥellu,grandfather,Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,,,"humans, kinship"
bciwbciw,,n,amcic,cat,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,animals
bčuta,,n,abčun,genitals (female),Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","Also pčuta (according to Aghzout, Maryam prefers a variant with /b/).",,"body, body part, taboo"
bebbu,,n,,bread,Libya,Amazigh (Berber),,Zwara,,,2014,,,
"bebbuɛ, bubbuɛ, beɛɛu, buɛɛu, bubu",,"n, interj",,"monster, ogre, anything scary, frightening",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"warning, game"
bebé,,n,,baby,Spain,Romance,,Spanish,Spain,,2024,Also ADS,,
becho,,n,beso,kiss,Ecuador,Romance,,Spanish,Ecuador,Ferguson 1964,1964,,"s>ch, used in CDS and also to be more childish (for fun), not used by Andrea from Spain, Navarra, she uses /pa/ - sound of a kiss.",
beddaḥ(a),,n,"afus, PL ifassen; (ṯ)iġerraḓ 'arm' (no BT term)","hand(s), arm(s)",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","Maryam also gives these forms: beddaḥ-a, a-beddaḥ-t, PL i-beddaḥ-in. Cf. daddaš",,"body, body part"
beɛbeɛ,,n,taġat,sheep,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,"Siham's parents could use abeɛɛš/abeɛɛuš, PL ibeɛɛšen/ibeɛɛušen. Adult: taġat (PL wulli/timɛaz).",,animals
beɛɛa,,n,iḵerri,sheep,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,Onomatopoeia,,animals
beɛɛu,,"n, interj",,"danger, anything dangerous",Morocco,Amazigh (Berber),,Tarifiyt,Iqeraiyen,,2015,beɛɛu (more than buɛɛu),,"game, warning, negative"
beɛɛu,,n,,"scary, someone scary, bogeyman, ogre",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,"beɛɛu (most common, BT), BT/AT tamza/ṯamza (female/ogress) not only BT, is mentioned in stories told to kids until 12-13, (adult/different monsters: lġul, F lġula, azġuġ, F tazġuġt), to scare kids, folklore",,warning
beɛɛu,,"n, interj",l-ġul,"monster, ogre, anything scary, frightening",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Berber bxxu (adult and BT),,"game, warning"
beɛɛu,,"interj, n, v",ɛand-ek,"stop, don't touch, attention, danger, dirt, pain",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu.",,"warning, negative, action"
beɛɛu,,"n, interj",ɛand-ek,"danger, dangerous, fear (stop, don't touch)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Synonyms: aḥḥ, diddi, kxx, beɛɛu.",,"game, warning"
beɛɛu,,"n, interj",,"danger (anything dangerous that must be avoided), same as insect",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Same as 'insect'.,tura ad d-yas beɛɛu ad k-yeqqes ‘Beɛɛu is coming to sting/bite you’.,"negative, warning, danger, fear"
beɛɛu,,"n, interj",,"danger (anything dangerous that must be avoided), same as insect",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,Same as 'insect'.,tura ad d-yas beɛɛu ad k-yeqqes ‘Beɛɛu is coming to sting/bite you’.,"negative, warning, danger, fear"
beɛɛu,,n,"abeɛɛuš, PL ibeɛɛaš (< archaic abexxuš)","insect(s) (harmful), beatle, etc. Also anything dangerous.",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"‘insect’, ‘invertebrate’, especially from the arthropoda class, e.g. an ant, bee, wasp, beetle, cockroach, spider, scorpion, centipede, etc. Also anything dangerous. The PL form is possible (with older children), but not common: Mmuqqel beɛɛu-ayyi. Llan yibeɛɛuten niḍen da, mmuqqel. ‘Look at this beɛɛu. There are other beɛɛus here, look.’","tura ad d-yas beɛɛu ad k-yeqqes ‘Beɛɛu is coming to sting/bite you’. Wayyi d beɛɛu… Xixxi, beɛɛu ‘This is beɛɛu, “dirty”, beɛɛu!’","animals, insects, danger, warning, negative"
beɛɛu,,n,"abeɛɛuš, PL ibeɛɛaš (< archaic abexxuš)","insect(s) (harmful), beatle, etc. Also anything dangerous.",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"‘insect’, ‘invertebrate’, especially from the arthropoda class, e.g. an ant, bee, wasp, beetle, cockroach, spider, scorpion, centipede, etc. Also anything dangerous. The PL form is possible (with older children), but not common: Mmuqqel beɛɛu-ayyi. Llan yibeɛɛuten niḍen da, mmuqqel. ‘Look at this beɛɛu. There are other beɛɛus here, look.’","tura ad d-yas beɛɛu ad k-yeqqes ‘Beɛɛu is coming to sting/bite you’. Wayyi d beɛɛu… Xixxi, beɛɛu ‘This is beɛɛu, “dirty”, beɛɛu!’","animals, insects, danger, warning, negative"
beɛɛu,,n,abeɛɛuc,insect,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,"animals, insects"
beġġi,,n,aġi,milk,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,BT beġġi < aġi because easier to start with b- than with a vowel,,"food, drink"
beġġi,,n,,milk,Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
beḥḥa,,"n, v",,kiss,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Cf. with morphology: ṯabeḥḥat,,"body, bodily function, action"
beḥḥa,,"n, v",,kiss (n/v),Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,,,"action, kiss"
beḥḥa,,"n, v","ṯaqemmunt (not used with parents because of respect, a “taboo” word); ṯabeḥḥat (used with older children, not babies); seǧem (v) 'to kiss', 'greet' in general (esp. in Ayt Waryaghel; <darija sellem ‘to greet’); suḏem ‘to kiss’ (on the cheeks)",kiss,Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,"body, bodily function, action"
bejbeji,,n,imejj,ear,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,The BT term might be derived from the AT term (BJ < MJ?),,body
bellala,,n,,egg,Algeria,Amazigh (Berber),,Tashawit,"Ayt Busliman (Chennawra), Ayt Sellem",,2024,,,
bellala,,n,tamellalt,egg,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,food
"berrer, yberrer, tberber, yetberber",,v,,swing a baby singing a lullaby,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, baby"
besabesah,,n,afus,hand,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,,,body
besbes,,n,,cat,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,From the animal call /bes bes/ used to attract a cat,,
besbes,,n,,cat,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,besbes < animal-directed speech (it is used to call a cat). The word lmešš for 'cat' is used in cities like Fes (not in Ketama). Ketama Berber CDS meššu is not used by Arabic speakers. With elder kids: qṭiwṭa (DIM from ADS) is used.,,animals
bešbeš,,n,,"cat, kitty",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,animals
"besbes, bisbis",,n,,cat,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Cf. mmyaw-mmyaw. Cf. Animal-directed speech psps/pešpeš,,animals
bess,,n,,cat,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,from animal call (psps) to call a cat,,animals
bess,,n,,cat,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,from animal call (psps) to call a cat,,animals
bess,,"n, v",,cat (homonym: pee),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,homonymy,,animals
bešš,,"n, v",,"pee, piss (homonym: cat)",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,"bešbeš, beššbešš: expression to call a cat",,"body, bodily functions"
bešš,,v,,pee,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
"bešš, bešbeš, bšiša, mšiša",,n,"mešš, qeṭṭ","cat, kitty",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Cf. Berber sibsi,,animals
bessa,,"n, v",bal,"pee (n, v)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Berber ppspps, pssi. Euphemism: tša ‘hot’",,"body, bodily function, action"
bessa,,"n, v",,pee (homonym: cat),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,homonymy,ɛmel bessa 'to pee' lit. 'make/do pipi',"body, body part, bodily functions"
bešša,,n,mušš,cat,Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,Siha,2024,"cf. bešš, bišbiš: animal talk, used to call a cat",,animals
"bešša, bissa",,n,mušš,cat,Algeria,Amazigh (Berber),,Tashawit,,,2024,"cf. bešš, bišbiš: animal talk, used to call a cat",,animals
bežġet,,v,,"babble, to start to speak, to say smth unintelligible",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,action
bezzi,,n,"rebbu ‘baby’ 
 asegmi (Zerqet) ‘toddler’",baby,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","In many other parts of Morocco (but not in the Riff or in Ketama), the BT term for 'baby' is mummu; in Ketama, mummu is a BT for 'stranger'.",,"humans, baby"
bezzi,,n,,"pee, urine",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,cf bešš verb,,
bežži,,n,,ear,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
"bežži, meğğita",,n,amezzuġ,ear,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,BT=diminutive,,body parts
bɛaḥa,,n,tilit,sheep,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in parts of Ayt Baamran; not used in Ourzazate; vs./cf. zizi 'goat'),,animals
bɛɛu,,n,"tabɛušt, PL tibɛušin",date (individual),Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
bib bib,,n,,"car, beep-beep",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,,2015,,,"object, world, vehicle"
bib bib,,n,,"car, beep-beep",Egypt,Semitic,Arabic,Arabic (Egyptian),Cairo,,2015,,,"object, world, vehicle"
bibbi,,n,tifiyyi,meat,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,not used in Ourzazate,,food
bibbi,,n,,meat,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,not used in Ourzazate,,food
bibbi,,n,,meat,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate; bibbi is more used in Tafraout,,food
bibbi,,n,,meat,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate; bibbi is more used in Tafraout,,food
bibbiš,,n,,"breast(s), breast milk",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,Also with morphology: abbuš 'breast' (~tabbušt with F circumfix). ,,"body, body part"
bibbiš,,n,"tabibbišt, PL tibibbišin",breast,Morocco,Amazigh (Berber),,Tamazight,Ait Sadden,,2014,"Also zizza, tizza (in the same dialect). Another term used in Morocco (by Arabs?) is zizza or tizza. bibbiš is not used in Ourzazate: there, bubu is used by children and grown-ups alike.
 Another region has tibišin for breasts.",,"body, body part"
